,Date,Category,Abuse,Details
13,3/14/24,Patient Privacy Violation,"Following cybersecurity breach, UHG’s Change Healthcarefailstoprotectpersonal information","OnFebruary 21, 2024, the information technology network of Change Healthcare – a subsidiary of United Healthcare Group – wasbreachedby aransomware group, affecting 21 parts of Change’s business. Hospital systems and medical practices could not process patient billing, get reimbursed by insurers, receive payment, or check patients’ insurance eligibility and benefits. Pharmacies were unable to fill prescriptions, while patients were unable to receive necessarymedications. One physician noted that their business has gone“5 weeks with $0 in revenue”due to the Change outage."
14,11/24/23,Anticompetitive Steering of Patients and Providers,UHG's Optum allegedly pushed a group of hospitals and physicians to enter an illegal agreement to not compete for primary care physicians,"Emanate Health accused Optum of pushing the company to agree not to poach each others’ primary care physicians. When Emanate refused, UHG – with 50% of the Medicare Advantage (MA) and commercial insurance markets – allegedly cut off contracts with Emanate and steered patients to other providers. Attempted to force the sale of local practices to Optum. Additionally, UnitedHealth was accused of cutting insurance reimbursement and steering members away from the target practice, and as a condition of insurance contracting, forcing the target practices to give UnitedHealth the first right of refusal upon sale."
15,11/15/23,Denial of Care,UHG's Optum bought and utilized NaviHealth to deny patients' necessary care,"UnitedHealth Group purchased NaviHealth, an automated care management system, in May of 2020 for over $1 billion. UHG then used NaviHealth’s prediction algorithm to deny medical care that was necessary to Medicare Advantage seniors, even though the algorithm had an error rate of 90 percent. UHG is facing aclass action lawsuit over these allegations."
16,11/8/23,Denial of Care,UHG's UnitedHealthcare regularly and illegally refuses to promptly hand over records to patients who had claims denied,"According to federal law, UnitedHealthcare is required to send claim files back to patients within 30 days, explaining the reasons for any claim denials. However, ProPublica found that UnitedHealthcare - a subsidiary of UHG - failed to follow this timeline."
17,10/19/23,Denial of Care,UHG's UnitedHealthcare has violated state laws that require insurers to cover certain procedures and medications,"In Washington state, UnitedHealthcare is facing a $500,000 fine for failing to prove company operations are in compliance with laws for mental and behavioral health coverage requirements."
18,8/1/23,Denial of Care,UHG subsidiary UMR faces Department of Labor lawsuit for denying claims based on diagnostic codes rather than patient need,UnitedHealth Group’s subsidiary UMR - a third party administrator of healthcare benefits and services - is being sued by the Department of Labor. UMR is accused of denying thousands of patients’ payments based solely on diagnosis code instead of patient need – which violates the Employee Retirement Income Security Act – and for failing to abide by Affordable Care Act requirements.
19,6/1/23,Denial of Care,UHG's UnitedHealthcare requires advanced notification requirement for colonoscopy care,"The company originally announced a plan to require prior authorization for colonoscopies, at a time when colorectal cancer is on the rise in young people. This sparked providers, medical groups, and patients to condemn the move. As a result, UnitedHealthcare announced “advanced notification requirements” which will similarly deny or delay care."
20,5/2/23,Anticompetitive Steering of Patients and Providers,UnitedHealthcare required to pay $91.2 million for under payment of essential medical care,"Envision Healthcare – a physician group – sued UHG’s UnitedHealthcare for under payment of medical care. Envision and UnitedHealthcare had an in-network agreement, but Envision claimed that the insurer reduced reimbursement to Envision clinicians, violating their agreement."
21,2/2/23,Denial of Care,"UHG's UnitedHealthcare ignores doctors' advice and denies claims for services they deem not ""medically necessary"" to reduce spending on care and increase profits","In one egregious case, UnitedHealthcare flagged a patient as a “high dollar account,” denying care that the company deemed as not “medically necessary.” Court documents revealed that UnitedHealthcare and its’ employees misrepresented critical findings, ignored warnings from doctors about the risk of altering the patients drug plan, inaccurately reported that the patient’s doctor had agreed to lower the doses of his medication, and ignored a doctor’s assessment that denying payments for the patients’ treatment could put his health at risk."
22,12/21/22,Anticompetitive Steering of Patients and Providers,UHG’s UnitedHealthcare accused of underpaying out-of-network providers,"UnitedHealthcare wasaccusedof violating health benefit plans,underpayingout-of-network providers, leaving beneficiaries to pay the bill. This was to reduce the company’s expenses, in violation of the Employee Retirement Income Security Act."
23,11/21/22,Upcoding and Overbilling,CMS finds that UnitedHealthcare has extracted overpayments from the federal government,"Between 2011 and 2023, CMS conducted over 90 audits on Medicare Advantage overbilling. These audits revealed that UHG’s UnitedHealthcareextracted overpaymentsat least 8 times in 2007, receiving at least $22.5 million in overpayments."
24,10/8/22,Upcoding and Overbilling,"DOJ, Department of Health and Human Services (HHS), and Office of the Inspector General (OIG) of HHS have accused UHG ofexploitingMedicare Advantage, including by overcharging the program",The federal government has accused UHG ofupcoding- submitting claims for more serious procedures and services than were actually performed or necessary - and fraud.
25,5/2/22,Anticompetitive Steering of Patients and Providers,"UHG accused of underpaying out-of-network providers to steer providers into UHG-owned Optum practices, which reimburses providers at a higher rate",Envision Healthcare – a physician practice – sued UHG forunderpayingout-of-networkproviders tosteer providersinto UHG-owned Optum. This leads to higher costs and less access to care for patients.
26,2/24/22,Upcoding and Overbilling,UHG’s OptumRx fails to follow worker’s compensation prescription pricing procedures,UHG’s pharmacy benefit manager OptumRx agreed to pay $5.8 million for allegedlyfailingto follow workers’ compensation prescription pricing procedures – like a maximum allowable cost – in the state of Massachusetts. These are in place to lower costs and prevent overcharges of the workers compensation system.
27,8/12/21,"Upcoding and Overbilling, Anticompetitive Steering of Patients and Providers, and Denial of Care","UHG’s subsidiary United Behavioral Health settles with Department of Labor, NY Attorney General, for underpaying out-of-network providers, overcharging patients, andexcessively denyingservices for patients","UHG’s United Behavioral Health reduced reimbursement rates for out-of-network mental health services, which led to overcharging patients, and excessively denied mental health treatments for New York beneficiaries. This violates the Employee Retirement Income Security Act, and UHG was required to pay nearly $2.1 million in penalties"
28,4/6/20,Anticompetitive Steering of Patients and Providers,UHG’s United Behavioral Health accused of underpaying out-of-network providers,UnitedHealth Group’s subsidiary United Behavioral Health was accused ofunderpayingout-of-network providers for mental health and substance abuse treatments inCalifornia. This would violate the Employee Retirement Income Security Act.
29,2/23/20,Anticompetitive Steering of Patients and Providers,UnitedHealthcare drops non-affiliated doctors to force patients to visit UHG-owned providers,UHG’s UnitedHealthcare was accused of terminating contracts with non-affiliated physicians in order toforce the patientsto establish care at nearby Optum practices in New Jersey.
30,6/1/17,Upcoding and Overbilling,"CMS requests nearly $800,000 in refunds from UHG overpayment","A Medicare Advantage Risk Adjustment Data Validation audit is the Department of Health and Human Services’ correction action to recoup improper payment - including price gouging - under Medicare Part C. For 2007 audits, CMSrequestednearly $800,000 from UHG."
31,5/16/17,Upcoding and Overbilling,"DOJ accuses UHG of failing to remove invalid diagnoses after becoming aware of them, and telling workers to mine old medical records for additional illnesses","TheDOJaccused UnitedHealth Group of knowinglydefraudingthe government by obtaining inflated risk adjustment payments based on “inaccurate” and “untruthful” information about beneficiaries, violating the False Claims Act."
